Name,Hours,Minutes,Price,Details,Prep instructions
Bang Trim,0,15,15.00,This service includes a consultation and performed on dry hair,Please provide an open space with great lighting
Basic exterior Trim,0,25,30.00,This service includes a consultation and performed on wet or dry hair,Please do not wash your hair.  Your stylist will take care of all your hair needs.  We ask that you provide an open space with great lighting.
Reshape,0,30,40.00,This service includes a consultation and performed based on the desired shape,
Long Layered,0,45,125.00,"This long layered bob cut will be done with a point cutting technique, which will allow your hair to have a sophisticated flowy movement.",
Short layered,0,45,95.00,This service is performed on dry or wet hair,
A Symmetrical ,0,45,125.00,This A Symmetrical Bob will be done as a blunt cut with feathered layers throughout the crown and nape,Please provide an open space with great lighting
