Name,Hours,Minutes,Price,Details,Prep instructions
Make-up Consultation,0,30,50,Individual consultation for basic or special event makeup application.,All skin should be clean and free of any make-up
Full Makeover,1,0,95,"This service includes colors of your choice, including foundation",All skin should be clean and free of any make-up
Eyes Only,,45,35,,
Eyes and Lips,0,45,65,This service includes a lip mask exfoliating the skin,
Prom Makeup,1,0,55,"This service is based on consultation, including full face",
Wedding Makeup,2,0,125,This is based on consultation only - time duration will be determined upon consult,All parties should have skin free of any oils and make-up
Bridal Trial,1,0,30,"This service is provided before making a final booking for services, and matching the perfect colors for your special day",
