Name,Hours,Minutes,Price,Details,Prep Instructions
Fingerwaves,1,15,65,This service includes a hydrating treatment,
Texturizer,0,45,125,This service includes a conditioning treatment,Hair should not be washed within 48 hrs prior to service.
Full Relaxer,0,45,125,This service includes a protein reconstructor treatment - mild only relaxer,"Hair should be free of all gels or molds, and should not be washed prior to service"
Perm,2,0,195,This service is performed with organic products - icluding a treatment,
Updo,1,0,100,"Updos are perfect for all occasions, when you need a little extra glamour.  Whether you're attending a wedding, prom or bar mitzvah, you can choose from pin curls, wraps, twist or a ballroom look.  Prices vary based on style and wedding size",Please have open space with available outlets 
Rod Set,2,0,100,"This is a non chemical service, which includes a conditioning treatment",
